Time,Logger Name,Level,Message,Line No
2024-04-27 00:08:57, main, INFO, server started, 29
2024-04-27 00:08:57, main, INFO, server started, 29
2024-04-27 00:08:58, main, INFO, server started, 29
2024-04-27 00:08:58, main, INFO, server started, 29
2024-04-27 16:16:33, main, INFO, server started, 29
2024-04-27 16:17:15, main, INFO, root page access, redirect to docs, 80
2024-04-27 16:18:41, main, INFO, server shutdown, 31
2024-04-27 16:18:43, main, INFO, server started, 29
2024-04-27 16:26:19, main, INFO, server shutdown, 31
2024-04-27 16:26:20, main, INFO, server started, 29
2024-04-27 16:42:56, main, INFO, server shutdown, 31
2024-04-27 16:42:57, main, INFO, server started, 29
2024-04-27 16:44:50, main, INFO, server shutdown, 31
2024-04-27 16:44:52, main, INFO, server started, 29
2024-04-27 16:46:27, main, INFO, server shutdown, 31
2024-04-27 16:46:29, main, INFO, server started, 29
2024-04-27 16:47:03, main, INFO, server shutdown, 31
2024-04-27 16:47:05, main, INFO, server started, 29
2024-04-27 16:47:27, main, INFO, server shutdown, 31
2024-04-27 16:47:29, main, INFO, server started, 29
2024-04-27 16:49:08, main, INFO, server shutdown, 31
2024-04-27 16:49:10, main, INFO, server started, 29
2024-04-27 16:50:12, main, INFO, server shutdown, 31
2024-04-27 16:50:13, main, INFO, server started, 29
2024-04-27 16:50:33, main, INFO, server started, 29
2024-04-27 16:54:41, main, INFO, server shutdown, 31
2024-04-27 16:54:42, main, INFO, server started, 29
2024-04-27 16:58:57, main, INFO, server shutdown, 31
2024-04-27 16:58:58, main, INFO, server started, 29
2024-04-27 17:24:29, main, INFO, server shutdown, 31
2024-04-27 17:24:31, main, INFO, server started, 29
2024-04-27 17:39:03, main, INFO, server shutdown, 31
2024-04-27 17:39:04, main, INFO, server started, 29
2024-04-27 21:21:17, main, INFO, server started, 29
2024-04-27 21:21:19, main, INFO, root page access, redirect to docs, 80
2024-04-27 21:22:17, main, INFO, server shutdown, 31
2024-04-27 21:22:19, main, INFO, server started, 29
2024-04-27 21:24:20, main, INFO, server shutdown, 31
2024-04-27 21:24:22, main, INFO, server started, 29
2024-04-27 21:24:23, main, INFO, server shutdown, 31
2024-04-27 21:24:25, main, INFO, server started, 29
2024-04-27 21:35:25, main, INFO, server shutdown, 31
2024-04-27 21:35:27, main, INFO, server started, 29
2024-04-27 21:38:23, main, INFO, server shutdown, 31
2024-04-27 21:38:25, main, INFO, server started, 29
2024-04-27 21:40:00, main, INFO, server shutdown, 31
2024-04-27 21:40:02, main, INFO, server started, 29
2024-04-27 21:45:52, main, INFO, server shutdown, 31
2024-04-27 21:45:54, main, INFO, server started, 29
2024-04-27 21:47:36, main, INFO, server shutdown, 31
2024-04-27 21:47:38, main, INFO, server started, 29
2024-04-27 21:49:25, main, INFO, server shutdown, 31
2024-04-27 21:49:27, main, INFO, server started, 29
2024-04-27 21:50:36, main, INFO, server shutdown, 31
2024-04-27 21:50:38, main, INFO, server started, 29
2024-04-27 21:55:21, main, INFO, server shutdown, 31
2024-04-27 21:55:23, main, INFO, server started, 29
2024-04-27 21:56:12, main, INFO, server shutdown, 31
2024-04-27 21:56:14, main, INFO, server started, 29
2024-04-27 22:00:14, main, INFO, server shutdown, 31
2024-04-27 22:00:16, main, INFO, server started, 29
2024-04-27 22:00:59, main, INFO, server shutdown, 31
2024-04-27 22:01:01, main, INFO, server started, 29
2024-04-27 22:01:56, main, INFO, server shutdown, 31
2024-04-27 22:01:58, main, INFO, server started, 29
2024-04-27 22:03:29, main, INFO, server shutdown, 31
2024-04-27 22:03:31, main, INFO, server started, 29
2024-04-27 22:06:45, main, INFO, server shutdown, 31
2024-04-27 22:06:47, main, INFO, server started, 29
2024-04-27 22:10:23, main, INFO, server shutdown, 31
2024-04-27 22:10:25, main, INFO, server started, 29
2024-04-27 22:11:17, main, INFO, server shutdown, 31
2024-04-27 22:11:19, main, INFO, server started, 29
2024-04-27 22:14:31, main, INFO, server shutdown, 31
2024-04-27 22:14:32, main, INFO, server started, 29
2024-04-27 22:17:07, main, INFO, server shutdown, 31
2024-04-27 22:17:09, main, INFO, server started, 29
2024-04-27 22:18:01, main, INFO, server shutdown, 31
2024-04-27 22:18:03, main, INFO, server started, 29
2024-04-27 22:19:11, main, INFO, server shutdown, 31
2024-04-27 22:19:13, main, INFO, server started, 29
2024-04-27 22:22:22, main, INFO, server shutdown, 31
2024-04-27 22:22:24, main, INFO, server started, 29
2024-04-27 22:30:00, main, INFO, server shutdown, 31
2024-04-27 22:30:02, main, INFO, server started, 29
2024-04-27 22:30:34, main, INFO, server shutdown, 31
2024-04-27 22:30:36, main, INFO, server started, 29
2024-04-27 22:32:23, main, INFO, server shutdown, 31
2024-04-27 22:32:25, main, INFO, server started, 29
2024-04-27 22:32:44, main, INFO, server shutdown, 31
2024-04-27 22:32:46, main, INFO, server started, 29
